nicknames;application/kernel;Num. of Registers;sm_efficiency(Avg)%;achieved_occupancy(Avg);total_global_transactions;shared_total_transactions;inst_fp_32(Avg);inst_fp_64(Avg);inst_integer(Avg);time_percentage
R_E1;gaussian_208  Fan2float*, float*, float*, int, int, int;13;56.31;0.090635;27831;0;14594;0;687370;79.241264
R_E2;gaussian_208  Fan1float*, float*, int, int;14;0.88;0.151312;221;0;1039;0;5360;20.758736
R_F1;heartwall_20  kernelvoid;36;96.6;0.228187;270097632;36113374;984925165;7285;5348593569;100
R_G1;hotspot3d_512x8  hotspotOpt1float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float;35;95.5;0.690472;3661824;0;35651584;0;123467776;100
R_H1;hotspot_1024  calculate_tempint, float*, float*, float*, int, int, int, int, float, float, float, float, float, float;38;98.94;0.724001;1380240;997428;51551120;17319484;208536144;100
R_I1;huffman  vlc_encode_kernel_sm64huffunsigned int*, unsigned int const *, unsigned int const *, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*;45;94.75;0.599023;207120;624416;525312;0;108778100;90.921684
R_J4;hybridsort  bucketsortfloat*, int*, float*, int, unsigned int*, unsigned int*;13;94.11;0.06786;811425;111534;0;0;10542912;11.726861
R_J5;hybridsort  mergeSortPassfloat4*, int, int;30;63.81;0.268887;125372;0;2727044;0;2348435;57.52714
R_J7;hybridsort  bucketcountfloat*, int*, unsigned int*, int;14;96.51;0.068271;203244;187602;5000000;0;14454760;21.347027
R_K1;kmeans_819200  invert_mappingfloat*, float*, int, int;17;99.52;0.916672;31334400;0;0;0;129496320;53.06761
R_K2;kmeans_819200  kmeansPointfloat*, int, int, int, int*, float*, float*, int*;19;99.12;0.963738;102400;0;282624000;0;361417728;46.93238
R_L1;lavaMD_20  kernel_gpu_cudapar_str, dim_str, box_str*, FOUR_VECTOR*, double*, FOUR_VECTOR*;56;99.47;0.56104;251120240;414085440;1951120000;62438000000;6987425504;100
R_M2;leukocyte_10  IMGVF_kernelfloat**, float**, int*, int*, float, float, float, int, float;59;68.13;0.203169;6057365;8057560;4185965923;221455330;2473406505;98.40578
R_N1;lud_2048  lud_diagonalfloat*, int, int;48;3.03;0.015625;94;1270;1480;0;8232;23.189917
R_N2;lud_2048  lud_perimeterfloat*, int, int;48;69.11;0.037196;16256;24064;278528;0;276480;11.937395
R_N3;lud_2048  lud_internalfloat*, int, int;22;80.1;0.810807;1218560;1131520;23674880;0;36208640;64.87268
R_O1;mummergpu  mummergpuKernelvoid*, char*, char*, int const *, int const *, int, int;23;99.91;0.900046;1234906466;0;0;0;23613000000;48.630733
R_O2;mummergpu  printKernelMatchInfo*, int, Alignment*, char*, int const *, int const *, int, int, int, int, int;25;99.92;0.746648;58147659;0;0;0;1559838769;51.369263
R_P1;myocyte_10  kernelint, float*, float*, float*, float*;90;5.2;0.015625;200;0;2432;1422;1033;100
R_Q1;nn  euclidlatLong*, float*, int, float, float;8;40.61;0.696038;26728;0;427640;0;643168;100
R_R1;nw_2048  needle_cuda_shared_1int*, int*, int, int, int, int;32;64.01;0.037345;9288;39344;0;0;209689;51.332348
R_R2;nw_2048  needle_cuda_shared_2int*, int*, int, int, int, int;32;64.04;0.037147;9216;39040;0;0;209088;48.66765
R_S2;particlefilter-float  likelihood_kerneldouble*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*;39;7.01;0.24998;258432;362;303000;919026;1320485;28.835913
R_S3;particlefilter-float  normalize_weights_kerneldouble*, int, double*, double*, double*, int*;23;3.57;0.249298;3006;72;8007;14022;18227;39.106777
R_S4;particlefilter-float  find_index_kerneldouble*, double*, double*, double*, double*, double*, double*, int;10;6.14;0.249978;62002;0;0;478119;2410694;31.733206
R_T1;particlefilter-naive  kerneldouble*, double*, double*, double*, double*, double*, int;10;19.53;0.05794;65578;0;0;506097;2550584;100
R_U1;pathfinder  dynproc_kernelint, int*, int*, int*, int, int, int, int;14;83.67;0.882899;603742;439260;0;0;43055212;100
R_V1;sc_gpu  kernel_compute_costint, int, long, Point*, int, int, float*, float*, int*, bool*;32;80.66;0.94694;6590535;0;33816576;0;88735744;100
R_W2;srad-v1  reducelong, int, int, float*, float*;32;37.91;0.490583;58586;135771;232987;0;4579932;32.368893
R_W3;srad-v1  srad2float, int, int, long, int*, int*, int*, int*, float*, float*, float*, float*, float*, float*;21;86;0.815946;610772;0;1149580;459832;18396132;26.125738
R_W5;srad-v1  preparelong, float*, float*, float*;10;64.68;0.865816;172438;0;229916;0;2760928;6.8441234
R_W6;srad-v1  sradfloat, int, int, long, int*, int*, int*, int*, float*, float*, float*, float*, float, float*, float*;19;87.74;0.865732;675493;0;11495800;2069244;29432100;34.525097
R_X1;srad-v2  srad_cuda_1float*, float*, float*, float*, float*, float*, int, int, float;21;99.16;0.971695;6840320;2000421;255852544;37748736;260292608;56.432796
